	Acartia-tonsa_adults_SR	Amphibalanus-amphitrite_larva_ou	Calanoides-carinatus_active-pop_BL	Calanus-hyperboreus_female_AF	Eucalanus-hyalinus_high-oxygen_CA	Eucyclops-serrulatus__SR	Eurytemora-affinis_adults_fr	Labidocera-madurae_femalesPooled_SR	Lernaea-cyprinacea_hote_SR	Lsalmonis_female_SR	Metridia-longa_female_AU	Nannocalanus-minor__BY	Neocalanus-flemingeri_pooledFemales_SR	Onana_female_in	Osimilis_female_in	Paracyclopina-nana_SRR1664735_Tr	Penaeus-aztecus_10Hepatopancreas_ou	Pleuromamma-robusta__BU	Pseudocalanus-sp_female_BE	Pseudodiaptomus-annandalei_1ind_SR	Tigriopus-japonicus_SRR1784985_Tr	Tigripus-kingsejongensis_SRR2034718_Tr	Tracheliastes-polycolpus_female_le
PF00443.30	94	379	199	185	233	399	228	162	372	132	343	125	279	146	118	318	314	139	174	153	138	120	91
PF13423.7	181	288	253	353	201	343	387	210	429	125	303	146	220	189	174	457	331	238	146	275	358	232	131
PF13639.7	878	1314	830	939	587	1688	635	895	952	316	881	549	958	389	429	818	1463	841	738	511	602	624	568
PF00078.28	538	4923	347	154	520	188	740	346	504	122	415	261	6	8	25	919	983	404	686	1218	2648	261	123
PF17917.2	55	740	79	42	45	49	282	69	158	65	102	42	6	0	0	59	120	120	94	279	782	168	0
PF17919.2	35	812	105	72	44	48	127	137	212	80	57	76	3	0	0	77	106	140	142	235	1103	157	0
PF16046.6	94	59	47	131	32	169	48	19	94	74	26	26	18	20	20	14	65	39	65	22	198	34	38
PF00293.29	61	51	159	246	66	129	179	117	129	36	65	29	61	53	76	304	53	68	50	84	63	47	56
PF00013.30	612	1133	820	629	721	1449	748	677	770	585	626	705	835	321	271	272	353	482	740	652	316	305	145
PF12816.8	7	8	4	2	4	12	4	2	3	2	4	5	8	3	3	2	3	3	1	4	6	4	20
PF00637.21	348	266	351	365	428	378	330	363	309	59	190	165	257	268	305	884	185	233	144	544	521	213	129
PF00085.21	292	591	635	499	621	926	751	697	590	174	705	360	728	429	508	756	226	478	903	623	699	268	361
PF13098.7	145	275	226	156	152	690	208	588	362	84	316	192	224	149	135	415	85	191	182	364	241	166	126
PF13899.7	99	236	108	106	162	300	62	77	199	53	183	32	141	60	62	111	89	42	124	101	80	48	95
PF00578.22	78	251	233	422	147	309	236	330	214	150	383	231	138	161	136	248	89	158	154	276	478	269	67
PF13905.7	191	166	206	286	194	407	262	664	411	75	250	203	176	97	103	222	88	131	246	312	437	188	248
PF13848.7	141	462	153	134	104	319	229	148	260	81	232	105	120	99	96	195	126	133	116	206	268	207	159
PF04756.14	169	134	75	103	143	222	164	101	245	40	155	70	100	40	37	217	101	150	85	124	62	63	54
PF08534.11	79	110	86	239	166	181	95	190	102	24	165	71	144	41	35	183	67	145	78	98	62	216	20
PF14595.7	28	44	17	14	13	177	86	29	28	0	177	26	117	63	31	50	0	18	44	73	109	93	22
PF07449.12	55	51	51	20	103	91	393	182	83	185	82	35	28	23	23	134	3	68	53	125	134	8	38
PF13192.7	20	147	382	323	61	4	67	164	44	28	336	25	25	30	30	91	0	12	162	41	116	10	2
PF13728.7	404	30	49	13	75	108	48	193	48	116	38	91	151	155	155	142	33	63	85	143	65	69	26
PF00462.25	75	127	230	96	73	297	38	260	93	92	93	54	106	27	37	120	49	172	81	118	214	27	35
PF01216.18	94	41	43	35	41	59	41	35	85	14	49	43	15	9	15	12	18	20	75	49	32	17	39
PF00089.27	264	1409	2208	3559	1283	1557	2184	805	1555	602	1842	1062	1252	710	716	2291	212	1269	2017	1682	1157	1018	338
PF04499.16	32	44	40	47	8	43	50	72	23	14	3	175	20	15	4	8	18	28	2	87	4	7	24
